2025-11-11 20:40:22 [DEBUG] app_logger, calculator_router.py: Calculating using Bird model
2025-11-11 20:56:16 [INFO] app_logger, config_loader.py: Configuration loaded from C:\Yilmaz\Projects\tubitak-gunes\.env
2025-11-11 20:56:43 [INFO] app_logger, logger.py: Logger initialized.
2025-11-11 20:56:43 [INFO] app_logger, config_loader.py: Configuration loaded from C:\Yilmaz\Projects\tubitak-gunes\.env
2025-11-11 20:57:09 [INFO] app_logger, logger.py: Logger initialized.
2025-11-11 20:57:09 [INFO] app_logger, config_loader.py: Configuration loaded from C:\Yilmaz\Projects\tubitak-gunes\.env
2025-11-11 20:58:37 [INFO] app_logger, logger.py: Logger initialized.
2025-11-11 20:58:37 [INFO] app_logger, config_loader.py: Configuration loaded from C:\Yilmaz\Projects\tubitak-gunes\.env
2025-11-11 20:58:38 [INFO] app_logger, logger.py: Logger initialized.
2025-11-11 20:58:38 [INFO] app_logger, config_loader.py: Configuration loaded from C:\Yilmaz\Projects\tubitak-gunes\.env
2025-11-11 20:59:07 [INFO] app_logger, logger.py: Logger initialized.
2025-11-11 20:59:07 [INFO] app_logger, logger.py: Logger initialized.
2025-11-11 20:59:07 [INFO] app_logger, config_loader.py: Configuration loaded from C:\Yilmaz\Projects\tubitak-gunes\.env
2025-11-11 20:59:07 [INFO] app_logger, config_loader.py: Configuration loaded from C:\Yilmaz\Projects\tubitak-gunes\.env
2025-11-11 21:00:03 [INFO] app_logger, logger.py: Logger initialized.
2025-11-11 21:00:03 [INFO] app_logger, logger.py: Logger initialized.
2025-11-11 21:00:03 [INFO] app_logger, config_loader.py: Configuration loaded from C:\Yilmaz\Projects\tubitak-gunes\.env
2025-11-11 21:00:03 [INFO] app_logger, config_loader.py: Configuration loaded from C:\Yilmaz\Projects\tubitak-gunes\.env
2025-11-11 21:02:12 [INFO] app_logger, logger.py: Logger initialized.
2025-11-11 21:02:12 [INFO] app_logger, logger.py: Logger initialized.
2025-11-11 21:02:12 [INFO] app_logger, config_loader.py: Configuration loaded from C:\Yilmaz\Projects\tubitak-gunes\.env
